iter	Passed	Remaining
0	155	77358
1	161	40292
2	168	27881
3	174	21690
4	181	17961
5	188	15505
6	195	13763
7	202	12437
8	208	11389
9	215	10561
10	222	9874
11	228	9307
12	235	8823
13	242	8415
14	249	8059
15	255	7737
16	262	7470
17	269	7223
18	276	7007
19	283	6811
20	291	6644
21	298	6486
22	305	6333
23	312	6193
24	318	6058
25	325	5941
26	332	5827
27	340	5734
28	347	5643
29	355	5565
30	363	5493
31	370	5423
32	378	5354
33	385	5289
34	393	5227
35	400	5162
36	407	5097
37	413	5030
38	420	4969
39	427	4914
40	433	4857
41	440	4805
42	447	4761
43	455	4716
44	461	4670
45	468	4624
46	475	4580
47	482	4539
48	488	4498
49	495	4460
50	502	4421
51	509	4387
52	516	4352
53	522	4318
54	530	4288
55	536	4256
56	543	4225
57	550	4195
58	557	4166
59	563	4135
60	570	4108
61	577	4080
62	584	4053
63	591	4027
64	598	4003
65	605	3979
66	611	3954
67	618	3931
68	625	3907
69	632	3884
70	639	3863
71	646	3842
72	653	3819
73	659	3798
74	666	3777
75	673	3756
76	680	3736
77	686	3716
78	693	3696
79	700	3678
80	707	3661
81	715	3644
82	721	3626
83	728	3610
84	735	3591
85	742	3574
86	749	3557
87	756	3540
88	763	3524
89	769	3507
90	776	3490
91	783	3475
92	791	3464
93	799	3452
94	806	3440
95	814	3428
96	822	3417
97	830	3405
98	838	3394
99	845	3381
100	852	3368
101	859	3354
102	866	3339
103	872	3323
104	879	3309
105	886	3295
106	893	3281
107	900	3268
108	907	3254
109	914	3242
110	921	3229
111	928	3216
112	935	3203
113	942	3189
114	948	3176
115	955	3163
116	962	3149
117	969	3137
118	975	3123
119	982	3111
120	989	3099
121	996	3087
122	1003	3074
123	1009	3061
124	1016	3049
125	1023	3038
126	1030	3025
127	1037	3014
128	1043	3001
129	1050	2990
130	1057	2978
131	1063	2966
132	1070	2954
133	1077	2943
134	1084	2932
135	1091	2921
136	1098	2910
137	1105	2900
138	1112	2889
139	1119	2877
140	1125	2866
141	1132	2854
142	1139	2844
143	1146	2833
144	1152	2822
145	1159	2810
146	1166	2800
147	1173	2790
148	1180	2779
149	1186	2769
150	1193	2759
151	1200	2748
152	1207	2738
153	1214	2728
154	1221	2717
155	1227	2707
156	1234	2697
157	1242	2689
158	1249	2679
159	1257	2672
160	1266	2666
161	1276	2662
162	1284	2656
163	1293	2649
164	1301	2641
165	1308	2632
166	1315	2623
167	1322	2612
168	1329	2603
169	1336	2593
170	1343	2584
171	1349	2573
172	1356	2564
173	1363	2554
174	1369	2543
175	1376	2534
176	1383	2524
177	1389	2514
178	1397	2505
179	1404	2496
180	1412	2488
181	1419	2480
182	1426	2471
183	1434	2463
184	1441	2454
185	1448	2444
186	1455	2435
187	1462	2426
188	1468	2416
189	1475	2407
190	1482	2397
191	1488	2388
192	1495	2379
193	1502	2370
194	1509	2361
195	1516	2351
196	1523	2342
197	1529	2333
198	1536	2323
199	1543	2314
200	1550	2305
201	1556	2296
202	1563	2287
203	1570	2278
204	1577	2269
205	1584	2261
206	1591	2252
207	1597	2243
208	1604	2234
209	1611	2225
210	1618	2216
211	1625	2207
212	1631	2198
213	1638	2190
214	1645	2181
215	1652	2172
216	1659	2163
217	1665	2154
218	1672	2145
219	1679	2137
220	1685	2128
221	1693	2121
222	1701	2113
223	1708	2105
224	1716	2097
225	1724	2090
226	1731	2082
227	1739	2074
228	1746	2067
229	1754	2059
230	1761	2051
231	1769	2044
232	1776	2035
233	1783	2027
234	1790	2019
235	1797	2010
236	1804	2001
237	1810	1993
238	1817	1984
239	1824	1976
240	1831	1967
241	1837	1959
242	1844	1951
243	1851	1942
244	1858	1934
245	1865	1925
246	1871	1917
247	1878	1908
248	1885	1900
249	1891	1891
250	1898	1883
251	1906	1876
252	1913	1867
253	1920	1859
254	1926	1851
255	1933	1842
256	1940	1834
257	1946	1825
258	1953	1817
259	1960	1809
260	1966	1801
261	1973	1792
262	1980	1784
263	1987	1776
264	1994	1768
265	2000	1760
266	2007	1752
267	2014	1744
268	2021	1735
269	2028	1727
270	2035	1719
271	2041	1711
272	2048	1703
273	2055	1695
274	2061	1686
275	2068	1678
276	2075	1670
277	2082	1662
278	2089	1655
279	2096	1647
280	2103	1639
281	2110	1631
282	2117	1623
283	2124	1615
284	2131	1607
285	2137	1599
286	2144	1591
287	2151	1583
288	2157	1575
289	2164	1567
290	2172	1560
291	2179	1552
292	2187	1545
293	2195	1538
294	2203	1531
295	2211	1523
296	2218	1516
297	2226	1509
298	2233	1501
299	2240	1493
300	2247	1485
301	2253	1477
302	2261	1470
303	2267	1462
304	2274	1454
305	2281	1446
306	2288	1438
307	2294	1430
308	2301	1422
309	2308	1414
310	2314	1406
311	2321	1398
312	2328	1390
313	2335	1383
314	2342	1375
315	2348	1367
316	2355	1359
317	2362	1352
318	2369	1344
319	2376	1336
320	2383	1328
321	2389	1320
322	2396	1313
323	2403	1305
324	2410	1297
325	2417	1290
326	2423	1282
327	2431	1274
328	2437	1267
329	2444	1259
330	2451	1251
331	2458	1244
332	2465	1236
333	2471	1228
334	2478	1220
335	2485	1213
336	2492	1205
337	2498	1197
338	2505	1189
339	2512	1182
340	2518	1174
341	2525	1166
342	2532	1159
343	2539	1151
344	2545	1143
345	2552	1136
346	2559	1128
347	2566	1121
348	2573	1113
349	2580	1105
350	2587	1098
351	2594	1090
352	2600	1083
353	2607	1075
354	2614	1067
355	2622	1060
356	2629	1053
357	2637	1046
358	2644	1038
359	2652	1031
360	2660	1024
361	2668	1017
362	2676	1010
363	2683	1002
364	2691	995
365	2697	987
366	2704	980
367	2711	972
368	2718	965
369	2725	957
370	2732	950
371	2739	942
372	2746	935
373	2753	927
374	2759	919
375	2766	912
376	2773	904
377	2780	897
378	2787	889
379	2794	882
380	2800	874
381	2807	867
382	2814	859
383	2821	852
384	2827	844
385	2834	837
386	2841	829
387	2847	822
388	2854	814
389	2861	807
390	2868	799
391	2875	792
392	2882	784
393	2889	777
394	2896	769
395	2903	762
396	2910	755
397	2917	747
398	2923	740
399	2930	732
400	2936	725
401	2943	717
402	2950	710
403	2957	702
404	2963	695
405	2970	687
406	2977	680
407	2984	672
408	2990	665
409	2997	658
410	3004	650
411	3011	643
412	3018	635
413	3024	628
414	3031	620
415	3038	613
416	3045	606
417	3052	598
418	3058	591
419	3066	584
420	3074	576
421	3081	569
422	3089	562
423	3097	555
424	3105	548
425	3113	540
426	3120	533
427	3128	526
428	3135	518
429	3142	511
430	3149	504
431	3156	496
432	3163	489
433	3170	482
434	3176	474
435	3183	467
436	3190	459
437	3197	452
438	3203	445
439	3210	437
440	3217	430
441	3223	423
442	3230	415
443	3236	408
444	3243	400
445	3251	393
446	3258	386
447	3266	379
448	3272	371
449	3280	364
450	3287	357
451	3294	349
452	3301	342
453	3308	335
454	3316	327
455	3323	320
456	3330	313
457	3337	306
458	3344	298
459	3351	291
460	3358	284
461	3365	276
462	3371	269
463	3378	262
464	3385	254
465	3392	247
466	3399	240
467	3405	232
468	3412	225
469	3420	218
470	3427	211
471	3434	203
472	3441	196
473	3447	189
474	3454	181
475	3461	174
476	3468	167
477	3475	159
478	3481	152
479	3488	145
480	3495	138
481	3502	130
482	3508	123
483	3516	116
484	3523	108
485	3531	101
486	3538	94
487	3547	87
488	3554	79
489	3562	72
490	3570	65
491	3577	58
492	3585	50
493	3592	43
494	3599	36
495	3606	29
496	3613	21
497	3620	14
498	3626	7
499	3633	0
